Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,list_facilities,lantai,area_digunakan,luas_tanah,latitude,longitude
800000000.0,Waru,2,1,1,Tidak Ada,1,150,150,-7.3464372,112.799382
160000000.0,Sukodono,2,1,0,Tidak Ada,1,40,40,-7.4191007,112.6764056
1250000000.0,Sidoarjo,3,1,0,Tanpa perabotan,1,83,135,-7.44726655,112.69595079
330000000.0,Waru,2,1,0,Tanpa perabotan,1,40,60,-7.35128,112.8135304
1700000000.0,Tulangan,2,1,0,"AC, Tanpa perabotan",1,75,52,-7.46041,112.656837
1450000000.0,Sidoarjo,3,2,0,"AC, Sebagian perabotan, Dapur lengkap",1,110,150,-7.4217,112.5322
550000000.0,Sedati,2,1,0,Tanpa perabotan,1,40,72,-7.3952,112.7675
2000000000.0,Waru,4,4,4,Tidak Ada,1,210,178,-7.3664657,112.7283684
550000000.0,Sukodono,2,1,0,"Air, Tanpa perabotan, Listrik",1,96,96,-7.4254371,112.6815302
600000000.0,Buduran,2,1,0,"Air, Tanpa perabotan, Listrik",1,105,105,-7.422037499999999,112.751077
1500000000.0,Gedangan,5,3,3,Tidak Ada,1,180,105,-7.391717,112.7306136
750000000.0,Gedangan,2,2,2,Tidak Ada,1,60,105,-7.391717,112.7306136
750000000.0,Candi,2,1,1,"Air, Tanpa perabotan, Listrik",1,96,96,-7.4644539,112.7018048
270000000.0,Sukodono,2,1,0,"Air, Tanpa perabotan, Listrik",1,35,35,-7.394061,112.6738809
1700000000.0,Gedangan,4,2,2,Tidak Ada,1,300,200,-7.391717,112.7306136
525000000.0,Sukodono,3,1,1,"Garasi, Berperabot lengkap, Halaman, Fully fenced",2,60,60,-7.3831573,112.6883969
1500000000.0,Waru,3,2,0,Tidak Ada,1,160,180,-7.345876100000001,112.7748086
1350000000.0,Waru,3,3,0,Tidak Ada,2,120,90,-7.345331,112.7739507
1950000000.0,Waru,3,2,0,Tidak Ada,1,240,252,-7.345876100000001,112.7748086
850000000.0,Prambon,3,1,0,"Air, Tanpa perabotan, Listrik",1,116,116,-7.438294999999999,112.573007
585000000.0,Buduran,2,1,1,"Tangki air, Ruang kantor, Tanpa perabotan, Fully fenced, Alarm, Air, Teras",1,45,78,-7.419366600000001,112.7658623
395000000.0,Sedati,2,1,1,"Internet, Ruang layanan, Air, Tanpa perabotan, Fully fenced, Balkon, Alarm, Listrik, Teras",1,36,72,-7.405735399999999,112.7613933
825000000.0,Sidoarjo,2,2,2,"Garasi, Pemandangan panorama, Alarm, Air, Sebagian perabotan, Wifi, Pemanasan, Halaman, Perapian, Listrik, Fully fenced",2,54,73,-7.4502944,112.681783
780000000.0,Sukodono,3,2,2,"Garasi, Halaman, Alarm, Tanpa perabotan, Wifi, Internet, Ruang layanan, Air, Teras",2,62,75,-7.408064,112.6943559
1650000000.0,Sidoarjo,4,3,0,Tidak Ada,1,110,96,-7.447266399999999,112.6959507
650000000.0,Sidoarjo,3,2,0,Tanpa perabotan,1,88,88,-7.4463004,112.7107433
400000000.0,Candi,4,2,0,Tidak Ada,1,138,90,-7.4781286,112.7479374
700000000.0,Krian,3,2,2,"Garasi, Halaman, Listrik, Fully fenced, Dapur terpadu, Air, Tanpa perabotan",1,80,130,-7.4316249,112.5779178
565000000.0,Sukodono,4,2,0,Tidak Ada,2,200,90,-7.4092129,112.6698638
650000000.0,Sidoarjo,3,2,0,Tanpa perabotan,1,120,120,-7.4362461,112.6855113
500000000.0,Sidoarjo,2,1,0,Tanpa perabotan,1,120,99,-7.441595,112.6885379
800000000.0,Taman,3,2,0,Tanpa perabotan,2,156,78,-7.3654019,112.7126562
650000000.0,Candi,2,1,0,Tanpa perabotan,1,91,91,-7.4966669,112.7143688
2000000000.0,Waru,4,3,3,Tanpa perabotan,2,125,120,-7.3515939,112.7822375
2500000000.0,Waru,4,4,4,Tanpa perabotan,2,200,150,-7.3517813,112.7846068
2500000000.0,Waru,4,3,0,"Air, Listrik",1,180,180,-7.3432711,112.7683327
1050000000.0,Taman,4,2,0,Tidak Ada,2,225,168,-7.367875,112.6955381
850000000.0,Prambon,3,1,0,"AC, Listrik, Air, Sebagian perabotan",1,116,116,-7.438294999999999,112.573007
500000000.0,Sidoarjo,2,1,1,Tidak Ada,1,60,90,-7.4541053,112.7302448
600000000.0,Prambon,2,1,0,"Garasi, Listrik, Air, Tanpa perabotan",1,70,132,-7.4457506,112.5707595
695000000.0,Taman,2,1,0,Tanpa perabotan,2,80,66,-7.36625948,112.70658743
500000000.0,Sidoarjo,2,1,0,Tanpa perabotan,1,84,84,-7.45689945,112.73076855
764000000.0,Buduran,3,2,2,"Garasi, AC, Halaman, Alarm, Teras, Internet, Dapur terpadu, Tangki air, Tanpa perabotan, Wifi",2,80,91,-7.4193666,112.7658623
515000000.0,Sedati,2,1,1,"Garasi, Halaman, Listrik, Deck, Pemandangan panorama, Air, Sebagian perabotan",1,40,84,-7.3717382,112.76373357
950000000.0,Sidoarjo,4,2,0,Tanpa perabotan,2,200,120,-7.4577208,112.7308424
1100000000.0,Buduran,4,2,0,Tanpa perabotan,2,200,120,-7.4221052,112.7112938
600000000.0,Gedangan,2,1,1,Tanpa perabotan,1,75,90,-7.3965211,112.7462057
900000000.0,Waru,5,2,0,"Air, Tanpa perabotan, Listrik",2,135,135,-7.363997,112.7668821
600000000.0,Buduran,2,1,1,"Air, Sebagian perabotan, Listrik, Fully fenced",1,105,105,-7.422037499999999,112.751077
520000000.0,Sidoarjo,2,1,0,Tanpa perabotan,1,50,84,-7.4428037,112.6936111
600000000.0,Buduran,2,1,0,Tanpa perabotan,1,90,90,-7.436595,112.694927
600000000.0,Buduran,6,3,0,Tanpa perabotan,2,200,120,-7.443083,112.7029373
600200000.0,Candi,2,1,0,"Garasi, Listrik, Air, Teras",1,45,75,-7.4673674,112.7023641
601000000.0,Krian,2,1,0,"Garasi, Teras",1,45,75,-7.40299,112.5873906
2100000000.0,Buduran,7,4,0,"Garasi, Air, Tanpa perabotan, Fully fenced, Halaman, Listrik, Teras",2,200,200,-7.4355145,112.6987914
700000000.0,Sukodono,2,2,0,"Garasi, Air, Sebagian perabotan, AC, Listrik",2,75,75,-7.3949365,112.6771915
580000000.0,Sukodono,2,1,0,"AC, Air, Tanpa perabotan, Halaman, Listrik, Teras",1,72,72,-7.3992549,112.6761485
165000000.0,Sidoarjo,2,1,1,Tanpa perabotan,1,45,60,-7.43309838,112.66865697
1470000000.0,Waru,3,3,0,"Balkon, Dapur terpadu, Tangki air, Sebagian perabotan, Dapur lengkap, Halaman, Air",2,100,100,-7.3423873,112.7160201
475000000.0,Sidoarjo,2,1,1,"Garasi, Perapian, Wifi, Halaman, Listrik",1,60,84,-7.4578331,112.7278553
1700000000.0,Sidoarjo,4,3,0,Tanpa perabotan,2,110,96,-7.44726655,112.69595079
650000000.0,Krian,3,2,2,Garasi,1,120,240,-7.3964554,112.6212499
390000000.0,Sedati,2,1,0,"Halaman, Listrik, Teras, Air, Tanpa perabotan, Fully fenced",1,72,72,-7.405735399999999,112.7613933
600000000.0,Wonoayu,3,2,0,"Air, Tanpa perabotan, Listrik, Fully fenced",1,150,150,-7.4153401,112.6526416
