Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,list_facilities,list_buildings,lantai,area_digunakan,luas_tanah,latitude,longitude,dist_SD,dist_SMP,dist_SMA_SMK,dist_Universitas,dist_Fasilitas_Kesehatan,dist_Mall,dist_Supermarket,dist_Minimarket,dist_Stasiun,dist_Terminal,dist_Bandara,dist_Halte,dist_Entry_Exit_Tol
587000000,Candi,2,1,1,"Internet, Halaman, Air, Wifi, Pemandangan panorama, Tangki air, Listrik","Keamanan, Taman, Keamanan 24 jam, Area anak-anak, Rumah jaga, Spa",1,55,55,-7.46736755,112.702364,1.7425592989850236,2.27640515664852,1.2997852956469353,2.3429848666780484,1.9202836284896596,2.9882088247422347,2.2244938499808904,1.4083635128359724,2.337679630892802,1.5719485552880643,14.864761307288925,2.9256006049126455,2.6619603936104443
385000000,Buduran,2,1,0,Tanpa perabotan,Tidak Ada,1,110,56,-7.425129,112.7230909,1.9103003698000902,1.3979537096236054,1.1061051005356428,1.0526762945523878,2.292918065434631,2.740648466165926,2.107458689324181,1.941617938784703,5.114345547745976,5.4945153920255425,8.711963206887251,4.531137011819095,22.156650809373637
1700000000,Buduran,2,2,2,Tanpa perabotan,Tidak Ada,1,36,57,-7.436595,112.694927,2.3052826352181146,1.0910807981993018,3.925477366037864,3.5038469898966853,4.093047567275763,2.540693503956377,3.146910148998192,25.70403532324605,5.674077190063765,6.67435079040842,15.58889553321888,4.631210220917077,27.31766660554964
419000000,Sedati,2,1,1,"Garasi, AC, Ruang layanan, Tanpa perabotan, Fully fenced, Internet, Halaman, Air, Teras, Wifi","Keamanan, Kolam renang, Taman, Rumah jaga, Keamanan 24 jam, Cctv, Area anak-anak, Panggang, Lapangan tenis",1,40,58,-7.3717382,112.7637336,1.055519877025291,2.530923798102005,2.379729331388422,5.851397800947302,0.9257784557090415,4.842332909048748,1.4579604227115026,0.3438129111791732,5.271921530692562,2.61675989183757,1.7440892700706567,5.39617650965365,7.514619112655263
450000000,Candi,2,2,0,"Garasi, Air, Halaman, Tanpa perabotan","Area anak-anak, Keamanan 24 jam, Taman",2,59,59,-7.4869445,112.6970147,0.4819447844595644,3.6681857818123698,5.600396609574073,2.7504401316090568,5.013499873606911,6.562246301363722,4.932938899156452,1.9133329930866814,4.2922489429049255,4.6891677489211165,18.43879878391041,4.205736321702688,14.262336997688395
585000000,Sukodono,2,1,1,"Garasi, AC, Pemandangan panorama, Air, Sebagian perabotan, Internet, Dapur terpadu, Halaman, Listrik","Keamanan, Gym, Taman, Keamanan 24 jam, Cctv, Area anak-anak, Rumah jaga",1,34,60,-7.3982913,112.6883969,1.7245469662727158,3.201844851239365,3.5809314607836447,7.516977246314704,2.0167798642099135,7.956403992511474,3.046284895594322,2.7154227846356576,5.983125514848626,7.707627702134458,10.612850167938499,5.983125514848626,20.204333121194963
425000000,Krian,2,1,1,"Garasi, AC, Pemandangan panorama, Air, Tanpa perabotan, Internet, Dapur terpadu, Halaman, Listrik","Keamanan, Gym, Taman, Keamanan 24 jam, Cctv, Area anak-anak, Rumah jaga",1,34,60,-7.40132192,112.5880845,5.780352250608976,2.196347350042102,1.9663921621565401,13.50932136280126,2.2208399539943793,14.965113681176234,13.886402331611775,1.0221517447916886,1.3995571298487004,1.4475110935493996,22.226068408408388,1.354135407397492,27.54043719757482
650000000,Sidoarjo,2,1,1,"Garasi, Halaman, Listrik, Dapur terpadu, Air, Sebagian perabotan","Keamanan, Gym, Taman, Keamanan 24 jam, Cctv, Area anak-anak, Rumah jaga",1,34,60,-7.412324,112.5378369,14.107773876552127,4.521358591772457,5.73924983349377,19.679890962921075,5.993697625331609,20.980962778580064,19.675099372211758,0.17646865657484465,4.247567860248099,5.531233316358311,28.396638008528203,4.535996651429462,33.71100679769462
608000000,Gedangan,2,1,1,"Garasi, Halaman, Air, Deck, Pemandangan panorama, Ruang layanan, Listrik","Keamanan, Kolam renang, Taman, Cctv, Area anak-anak, Keamanan 24 jam",1,34,60,-7.3896762,112.7279598,0.15876730662380215,1.7772577553113862,1.211822739958879,4.456698371394396,0.27487645045464526,2.688814549740123,0.9275869930203207,0.20877442287634204,0.08462472979404548,5.011209210286206,4.714349382883914,0.08462472979404548,
575000000,Sidoarjo,2,1,1,"Garasi, Halaman, Listrik, Dapur terpadu, Air, Tanpa perabotan","Keamanan, Rumah jaga, Taman, Keamanan 24 jam",1,34,60,-7.422559,112.681056,0.9510664906430322,1.2643744155816599,0.0,5.356846461042185,1.6175284396440284,4.393692975101878,2.9014243548549326,8.065275703328473,7.527076661209263,8.254657403075749,12.741727995400261,6.484209692062577,23.622411518091386
602000000,Sedati,2,1,0,"Garasi, Listrik, Air, Teras",Taman,1,34,60,-7.3717381,112.7637334,1.055519877025291,2.530923798102005,2.379729331388422,5.851397800947302,0.9257784557090415,4.842332909048748,1.4579604227115026,0.3438129111791732,5.271921530692562,2.61675989183757,1.7440892700706567,5.39617650965365,7.514619112655263
299000000,Buduran,1,1,0,"Air, Tanpa perabotan, Listrik",Keamanan,1,36,60,-7.4507164,112.7926759,20.79916937650274,15.435365555768259,15.046168606910317,18.27246041763478,17.12112405984521,17.202828623348175,16.330251571241256,15.432401825459802,18.498992497999552,18.37395064557908,18.37395064557908,18.018474008459417,18.795448423679453
900000000,Waru,5,2,0,"Air, Tanpa perabotan, Listrik","Keamanan, Keamanan 24 jam, Taman",2,36,60,-7.3642821,112.7700822,1.9177287566324028,2.2648622489365984,2.1863296048711844,5.025316260396482,1.875667953590277,5.6919646481886135,1.2116255882575842,1.9075999680377378,5.976725021809924,4.180546948696134,4.180546948696134,5.976725021809924,5.758516217242948
1510000000,Sidoarjo,0,0,0,Tanpa perabotan,Tidak Ada,1,36,60,-7.4497718,112.7015495,1.418867546113402,1.3473282165336105,1.6196508465489468,1.1611435311078238,1.125437344093236,1.7112317906415684,0.8042066902093296,2.8773550012846476,2.9627882173951483,3.9766351559257362,13.48333016014807,2.288506762128217,0.5015150382374634
726630000,Candi,2,1,1,"Garasi, Air, Halaman, Fully fenced","Cctv, Area anak-anak, Rumah jaga, Kolam renang, Taman, Keamanan 24 jam",1,40,60,-7.461281,112.6891869,2.8236317813052634,2.082161867955597,2.377737596682578,3.4582287817109596,0.2466704039977425,2.9047520688710273,0.5882293938360276,0.2861250236260532,3.648769476454087,3.2082130114329264,16.083137776586348,4.003552905948289,15.792582697084523
485000000,Krian,2,1,1,"Garasi, Halaman, Listrik, Teras, AC, Air, Tanpa perabotan","Keamanan, Kolam renang, Taman, Cctv, Area anak-anak, Keamanan 24 jam",1,40,60,-7.40299,112.5873906,5.68090260756706,1.9083638113319348,1.678408623446373,13.409871719759343,1.9328564152842116,14.677130142466066,13.78695268856986,0.7341682060815213,1.1115735911385332,1.1595275548392323,22.126618765366466,1.0661518686873248,27.440987554532907
382150000,Sidoarjo,2,1,1,"Garasi, Dapur lengkap, Halaman, Air, Tanpa perabotan, Fully fenced, Internet, Kabel video, Ruang kantor, Listrik, Teras, Wifi","Keamanan, Kolam renang, Taman, Keamanan 24 jam, Cctv, Area anak-anak, Rumah jaga",1,45,60,-7.412324,112.5378369,14.107773876552127,4.521358591772457,5.73924983349377,19.679890962921075,5.993697625331609,20.980962778580064,19.675099372211758,0.17646865657484465,4.247567860248099,5.531233316358311,28.396638008528203,4.535996651429462,33.71100679769462
