Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,lantai,area_digunakan,luas_tanah,latitude,longitude,dist_SD,dist_SMP,dist_SMA_SMK,dist_Universitas,dist_Fasilitas_Kesehatan,dist_Mall,dist_Supermarket,dist_Minimarket,dist_Stasiun,dist_Terminal,dist_Bandara,dist_Halte,dist_Entry_Exit_Tol,road_score,has_exit_tol,AC,Air,Alarm,Balkon,Berperabot lengkap,Dapur lengkap,Dapur terpadu,Deck,Fully fenced,Garasi,Gas alam,Halaman,Halaman terbuka,Internet,Jacuzzi,Jaringan internet,Kabel video,Kitchen set,Lemari pakaian bawaan,Listrik,Pagar penuh,Pemanas ruangan,Pemanasan,Pemandangan panorama,Pendingin ruangan (AC),Perapian,Ruang kantor,Ruang layanan,Rubanah,Sebagian perabotan,Setengah terpisah,Sistem Alarm,TV kabel,Tangki air,Tanpa perabotan,Teras,Wifi,Akses bagi penyandang disabilitas,Angkat,Area anak-anak,BBQ Area,Cctv,Gym,Keamanan,Keamanan 24 jam,Kolam renang,Lapangan tenis,Panggang,Pramutamu,Pustaka,Rumah jaga,Sauna,Spa,Spa dan Sauna,Taman,Taman atap,Taman bermain anak,Tidak Ada
196,Candi,4,3,3,3,72,32,-7.4584834,112.70056,2.267426346,2.457838122,0.674587746,1.755078931,1.545929898,3.207814849,1.426829877,1.48481188,1.945619625,2.891953302,14.37998793,2.300403055,2.036762844,4,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
39,Sedati,2,1,1,1,35,35,-7.40081,112.80328,2.166956557,9.974993781,4.872965848,1.608290431,5.914333526,10.42740525,8.902030406,5.227299591,8.529707672,5.074062747,6.196879607,8.529707672,10.03664777,4,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
62.5,Candi,2,1,0,1,160,135,-7.4624495,112.694892,2.868330214,2.818143591,1.867244055,2.94773524,0.982652127,3.640733792,1.324211117,0.50808078,3.138275935,2.69771947,15.57264424,3.493059365,15.54274046,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,Taman,2,1,0,1,130,135,-7.3589157,112.6810879,3.958887031,1.892287961,1.726992546,1.860381441,1.630770297,5.065770285,3.456460256,1.234408478,2.75036667,4.228913219,10.55213542,2.580458966,81.19501354,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62.27,Krembung,2,1,1,1,36,78,-7.5087545,112.6226665,4.047952021,10.3908873,11.02631388,10.24330053,8.071318606,14.29488216,9.489830732,9.127927188,7.255431005,14.43484974,26.84448636,7.255431005,21.43141143,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
56.5,Sukodono,4,2,0,2,36,72,-7.4092129,112.6698638,0.448170597,1.521037257,2.553051035,7.909897496,0.879090359,6.94674401,4.341329992,0.645821532,7.402332541,10.80770844,13.33233934,7.402332541,21.84970302,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Sukodono,2,2,2,2,72,72,-7.3953751,112.6854713,1.685880241,3.163178126,3.891149366,6.680993381,1.794872467,7.490106669,3.007618171,2.565049993,5.94445879,7.668960977,10.57418344,5.94445879,19.73126215,3,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
189,Waru,5,4,0,2,100,100,-7.3399267,112.7562893,2.597476493,2.50980273,2.680404847,4.610746191,2.552150792,6.533520774,1.977784907,0.687217669,5.14976839,6.626076658,6.357688631,5.130909239,4.310022946,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Sidoarjo,2,1,0,1,100,140,-7.4497718,112.7015495,1.418867546,1.347328217,1.619650847,1.161143531,1.125437344,1.711231791,0.80420669,2.877355001,2.962788217,3.976635156,13.48333016,2.288506762,0.501515038,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,Sukodono,2,2,0,2,36,75,-7.3949365,112.6771915,1.378760417,3.414241133,4.446254912,6.430350996,0.818955664,8.839947887,3.782524503,1.89162949,6.719365123,8.44386731,11.34908978,6.719365123,20.43647377,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
